date,instrument,weight
2022-01-03,cl1s,0.03205681668593932
2022-01-03,rb1s,0.05528683837683401
2022-01-04,cl1s,0.06568652346600685
2022-01-04,rb1s,0.07152792395291149
2022-01-05,cl1s,0.10957101644878606
2022-01-05,rb1s,0.09089948028800453
2022-01-06,cl1s,0.16745496948765415
2022-01-06,rb1s,0.06085156843330353
2022-01-07,cl1s,0.0568615257418334
2022-01-07,rb1s,0.03204450473708078
2022-01-10,cl1s,0.0001923067644748675
2022-01-10,rb1s,0.0034719763261568193
2022-01-11,cl1s,0.19805612628845806
2022-01-11,rb1s,0.19334271447935655
2022-01-12,cl1s,0.20555674740639757
2022-01-12,rb1s,0.18942908327895508
2022-01-13,cl1s,0.08913388886895642
2022-01-13,ng1s,-0.0
2022-01-13,rb1s,0.09859271717823112
2022-01-14,cl1s,0.18452891655321985
2022-01-14,ng1s,-0.0
2022-01-14,rb1s,-0.0
2022-01-18,cl1s,0.21893124245777346
2022-01-18,ng1s,-0.0
2022-01-18,rb1s,-0.0
2022-01-19,cl1s,0.21286596338404165
2022-01-19,rb1s,0.16565741268194825
2022-01-20,cl1s,0.10753135110155135
2022-01-20,rb1s,0.09791033550842258
2022-01-21,cl1s,0.041176738816038116
2022-01-21,rb1s,-0.0
2022-01-24,cl1s,0.04481887831728412
2022-01-24,rb1s,0.0
2022-01-25,cl1s,0.12683821350683272
2022-01-25,ng1s,-0.0
2022-01-25,rb1s,0.12020569566081615
2022-01-26,cl1s,0.183764067432445
2022-01-26,ng1s,-0.0
2022-01-26,rb1s,0.0
2022-01-27,cl1s,0.0540037221913563
2022-01-27,ng1s,-0.0
2022-01-27,rb1s,0.0
2022-01-28,cl1s,0.04828349599866898
2022-01-28,ng1s,-0.0
2022-01-28,rb1s,0.12547276340031346
2022-01-31,cl1s,0.1583077816212562
2022-01-31,ng1s,-0.0
2022-01-31,rb1s,0.14368616237495266
2022-02-01,cl1s,0.08452627514530461
2022-02-01,ng1s,-0.0
2022-02-01,rb1s,0.0
2022-02-02,cl1s,0.04357335943000239
2022-02-02,ng1s,-0.0
2022-02-02,rb1s,0.0
2022-02-03,ng1s,-0.0
2022-02-03,rb1s,0.0
2022-02-04,ng1s,-0.0
2022-02-04,rb1s,0.0
2022-02-07,rb1s,0.0
2022-02-08,ng1s,-0.0
2022-02-08,rb1s,-0.0
2022-02-09,ng1s,-0.0
2022-02-09,rb1s,0.055234328108863306
2022-02-10,cl1s,0.005204094897511983
2022-02-10,ng1s,-0.0
2022-02-10,rb1s,0.0
2022-02-11,ng1s,-0.0
2022-02-11,rb1s,0.25
2022-02-14,ng1s,-0.0
2022-02-14,rb1s,-0.0
2022-02-15,cl1s,0.008448851054702522
2022-02-15,ng1s,-0.0
2022-02-15,rb1s,0.058051116311917346
2022-02-16,cl1s,0.0987771738247451
2022-02-16,ng1s,-0.0
2022-02-16,rb1s,9.753844382176195e-05
2022-02-17,cl1s,0.02452999873326194
2022-02-17,ng1s,-0.0
2022-02-17,rb1s,0.038301405205282406
2022-02-18,cl1s,9.164759958660103e-05
2022-02-18,ng1s,-0.0
2022-02-18,rb1s,0.0
2022-02-22,cl1s,0.08409464406939567
2022-02-22,ng1s,-0.0
2022-02-22,rb1s,0.08645969992256614
2022-02-23,cl1s,0.09097454594178878
2022-02-23,ng1s,-0.0
2022-02-23,rb1s,0.14470808060858648
2022-02-24,cl1s,0.09513453406177692
2022-02-24,ng1s,-0.0
2022-02-24,rb1s,0.19002327160110233
2022-02-25,cl1s,3.592871776539875e-06
2022-02-25,ng1s,-0.0
2022-02-25,rb1s,0.005660396010885507
2022-02-28,cl1s,0.0
2022-02-28,ng1s,-0.0
2022-02-28,rb1s,0.1844060086690261
2022-03-01,ng1s,-0.0
2022-03-01,rb1s,0.25
2022-03-02,ng1s,-0.0
2022-03-02,rb1s,-0.0
2022-03-03,cl1s,0.21364947505406692
2022-03-03,ng1s,-0.0
2022-03-03,rb1s,-0.0
2022-03-04,ng1s,-0.11588157592159687
2022-03-04,rb1s,-0.0
2022-03-07,ng1s,-0.01194430045141687
2022-03-07,rb1s,-0.0
2022-03-08,ng1s,-0.10088851131652225
2022-03-08,rb1s,-0.0
2022-03-09,ng1s,-0.06316240526467326
2022-03-09,rb1s,-0.0
2022-03-10,ng1s,-0.026099094667327634
2022-03-10,rb1s,-0.0
2022-03-11,ng1s,-0.07728903352402441
2022-03-11,rb1s,-0.0
2022-03-14,cl1s,-0.1398455829555242
2022-03-14,ng1s,-0.009892659565200202
2022-03-14,rb1s,-0.0
2022-03-15,ng1s,-0.008555454802097342
2022-03-15,rb1s,0.0
2022-03-16,ng1s,-0.09285185522150118
2022-03-16,rb1s,0.0
2022-03-17,ng1s,-0.12356550311027464
2022-03-17,rb1s,-0.0
2022-03-18,cl1s,-0.11770269929519148
2022-03-18,rb1s,-0.0
2022-03-21,cl1s,-0.15228135263614234
2022-03-21,rb1s,-0.0
2022-03-22,cl1s,-0.13267257508626068
2022-03-22,rb1s,-0.0
2022-03-23,cl1s,-0.15410476692206962
2022-03-23,rb1s,-0.0
2022-03-24,cl1s,-0.0843680728324897
2022-03-24,rb1s,-0.0
2022-03-25,cl1s,-0.12856818769254083
2022-03-25,rb1s,-0.0
2022-03-28,cl1s,-0.13348699492906654
2022-03-28,rb1s,-0.0
2022-03-29,rb1s,-0.0
2022-03-30,rb1s,-0.0
2022-03-31,rb1s,0.10245010530706704
2022-04-01,rb1s,0.0516900446962367
2022-04-04,rb1s,0.0019246337814854426
2022-04-05,rb1s,0.011204313710909596
2022-04-06,rb1s,0.14905241161660418
2022-04-07,rb1s,0.07674682695555053
2022-04-08,rb1s,0.03484967297859902
2022-04-11,rb1s,0.11991024821401633
2022-04-12,rb1s,0.12629808298464112
2022-04-13,cl1s,-0.14222404693928523
2022-04-13,rb1s,0.16921951844617159
2022-04-14,cl1s,-0.1475559801560336
2022-04-14,rb1s,-0.0
2022-04-18,rb1s,-0.12444858280893466
2022-04-19,rb1s,-0.03917667112355973
2022-04-20,rb1s,-0.007036929628163729
2022-04-21,rb1s,-0.058866837876259785
2022-04-22,rb1s,-0.0
2022-04-25,rb1s,0.06094822484368701
2022-04-26,rb1s,-0.0
2022-04-27,cl1s,0.011394161430228084
2022-04-27,rb1s,-0.0
2022-04-28,cl1s,0.12132964221975166
2022-04-28,rb1s,-0.16392346666334778
2022-04-29,cl1s,0.02726892370476431
2022-04-29,rb1s,-0.0
2022-05-02,cl1s,0.054070822843257364
2022-05-02,rb1s,-0.0
2022-05-03,cl1s,0.054338494899324116
2022-05-03,rb1s,-0.0
2022-05-04,cl1s,0.14538276181769824
2022-05-04,ng1s,-0.1401733251567513
2022-05-04,rb1s,-0.0
2022-05-05,cl1s,0.0956126648785422
2022-05-05,ng1s,-0.14153702383480687
2022-05-05,rb1s,-0.0
2022-05-06,cl1s,0.13222778907703026
2022-05-06,ng1s,-0.0
2022-05-06,rb1s,-0.0
2022-05-09,cl1s,0.1357435092173917
2022-05-09,rb1s,-0.0
2022-05-10,cl1s,0.14069710321008316
2022-05-10,rb1s,0.03419016722058239
2022-05-11,cl1s,0.09034804903177156
2022-05-11,rb1s,0.1340013612668214
2022-05-12,cl1s,0.04738611704160359
2022-05-12,rb1s,-0.0
2022-05-13,cl1s,0.15070380962847038
2022-05-13,rb1s,-0.0
2022-05-16,cl1s,0.1608762284240617
2022-05-16,rb1s,-0.19837591195595497
2022-05-17,cl1s,0.08904868995623189
2022-05-17,ng1s,-0.0
2022-05-17,rb1s,-0.0
2022-05-18,cl1s,0.020423168961926606
2022-05-18,ng1s,-0.0
2022-05-18,rb1s,-0.0
2022-05-19,cl1s,0.0795891130540602
2022-05-19,ng1s,-0.0
2022-05-19,rb1s,-0.0
2022-05-20,cl1s,0.05057949182053002
2022-05-20,rb1s,-0.0
2022-05-23,cl1s,0.04248524060869497
2022-05-23,rb1s,-0.0
2022-05-24,cl1s,0.013751816910116555
2022-05-24,rb1s,-0.0
2022-05-25,cl1s,0.041689531592876625
2022-05-25,ng1s,-0.0
2022-05-25,rb1s,0.103088066201607
2022-05-26,cl1s,0.15264866402317034
2022-05-26,rb1s,0.1452061516517653
2022-05-27,cl1s,0.13067626867020748
2022-05-27,rb1s,-0.0
2022-05-31,cl1s,0.058958678059158436
2022-05-31,ho1s,-0.0
2022-05-31,rb1s,-0.0
2022-06-01,cl1s,0.06783773657699907
2022-06-01,ng1s,-0.0
2022-06-01,rb1s,-0.0
2022-06-02,cl1s,0.11535465840293316
2022-06-02,ho1s,-0.0
2022-06-02,ng1s,-0.0
2022-06-02,rb1s,-0.0
2022-06-03,cl1s,0.1362028705530564
2022-06-03,ng1s,-0.0
2022-06-03,rb1s,-0.21227655016696417
2022-06-06,cl1s,0.05879799067221196
2022-06-06,ng1s,-0.0
2022-06-06,rb1s,-0.0
2022-06-07,cl1s,0.09659831310523491
2022-06-07,ng1s,-0.1298114179688017
2022-06-07,rb1s,-0.0
2022-06-08,cl1s,0.17215581984889708
2022-06-08,ng1s,-0.04316750834524365
2022-06-08,rb1s,-0.0
2022-06-09,cl1s,0.09096372589014298
2022-06-09,rb1s,-0.0
2022-06-10,cl1s,0.020078397776963807
2022-06-10,rb1s,-0.0
2022-06-13,cl1s,0.025344452526578798
2022-06-13,rb1s,0.12485177962427627
2022-06-14,cl1s,0.0148597585553521
2022-06-14,rb1s,0.08115968378735078
2022-06-15,cl1s,0.124885259616623
2022-06-15,rb1s,0.1537005820283223
