feature_method,model_name,tb_config_name,ticker,model_type,feature,importance,importance_type,coefficient,abs_coefficient
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,vol_ratio_63_126d,0.14437474609506828,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,vol_63d,0.0991998618691206,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,sma50_vs_sma100,0.07000728711313388,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,bb_lower_dist,0.03146614151108984,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,atr_20d_pct,0.03082458888798109,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,bb_width,0.0300806456132089,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,atr_20d,0.027255668608646505,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,ret_126d,0.026363095693728623,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,sma100_slope,0.026306372335630775,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,ret_spread_20_63,0.02606899537363197,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,macd_hist,0.02379872688680928,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,vol_126d,0.022499694777390923,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,low,0.022348903282140543,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,ema20_vs_ema100,0.0214349812397663,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,stoch_d_14d,0.02016222887915096,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,ret_252d,0.02005651741212555,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,vol_252d,0.019634882052632037,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,vol_ratio_20_63d,0.01925229887259329,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,bb_upper_dist,0.019082932723844696,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,zscore_126d,0.018729961305128953,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,donchian_pos_252d,0.016175176048835293,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,ret_spread_5_20,0.015932309782626407,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,bb_width_zscore,0.01576797666753543,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,ret_63d,0.015536962257174224,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,macd_zscore,0.01490877887933959,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_prob_calm_positive,0.013940195184882943,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,price_vs_sma100,0.013826541979443583,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,signal_x_hmm_prob_high_or_extreme_vol,0.012933885317670217,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,uo,0.011828671636295474,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,mfi_14d,0.00970419548637911,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,open_interest_zscore_20d,0.009382276793176719,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,signal_rolling_mean_20d,0.008540569064563162,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,signal_x_hmm_prob_positive_or_strong_upside,0.008117533963616941,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_prob_downside_or_weak,0.007394444844129775,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,upper_wick_pct,0.006759866861522434,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,range_pct,0.006268339529007303,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,open_interest_log_change,0.006211524179760698,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_prob_stress,0.006109883979162886,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,volume_to_open_interest,0.005360044659103419,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,signal_x_hmm_confidence,0.005219328180624538,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,signal_x_hmm_prob_stress,0.005143414800262271,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,days_since_signal_change,0.004348575762478159,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,vol_ratio_5_20d,0.004149798738992335,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,volume_zscore_20d,0.003987007738586492,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hl_range,0.0038107423011399188,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,rsi_7d_change,0.003769932085116666,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,close_position_in_bar,0.0037551684305132194,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_prob_upside_breakout,0.003748803666118832,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,volume,0.00371818513594322,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,ret_5d_x_hmm_confidence,0.003609558923357202,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,gap_open_pct,0.00349814946233861,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,lower_wick_pct,0.0034187071198889325,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_prob_calm_negative,0.003355169310532478,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,macd_hist_chg,0.003042341296277007,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,mom_sign_20d,0.002937669942205223,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,signal_rolling_mean_5d,0.0028799679873494108,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,mom_sign_252d,0.0028249203074263303,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_regime_confidence,0.0021366502888822427,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,mom_sign_126d,0.0016566419498388156,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,volume_log_change,0.0014403204318127556,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,mom_sign_63d,0.0011341270640691813,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_predicted_regime,0.000926541768673149,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,primary_signal,0.00069366763744569,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_market_upside_breakout,0.00039564226433416657,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,mom_sign_5d,0.0003503226732242202,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_market_calm_negative,0.0002424947998013609,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_market_stress,8.334932990901888e-05,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,signal_changed,7.509295581001591e-05,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_regime_missing,0.0,random_forest_mdi,,
corr_cluster,rf_medium_depth,parkinson_10d_tp2_sl2,cl1s,random_forest,hmm_market_calm_positive,0.0,random_forest_mdi,,
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_005,0.5708312936054568,abs_standardized_logistic_coefficient,-0.5708312936054568,0.5708312936054568
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_001,0.5211951338450633,abs_standardized_logistic_coefficient,-0.5211951338450633,0.5211951338450633
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_016,0.3661396204953182,abs_standardized_logistic_coefficient,0.3661396204953182,0.3661396204953182
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_006,0.35864125302405486,abs_standardized_logistic_coefficient,0.35864125302405486,0.35864125302405486
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_007,0.30493013492348325,abs_standardized_logistic_coefficient,0.30493013492348325,0.30493013492348325
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_013,0.280672391135645,abs_standardized_logistic_coefficient,0.280672391135645,0.280672391135645
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,primary_signal,0.27935517590865927,abs_standardized_logistic_coefficient,0.27935517590865927,0.27935517590865927
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_012,0.23626462658014652,abs_standardized_logistic_coefficient,0.23626462658014652,0.23626462658014652
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_003,0.1633494370016939,abs_standardized_logistic_coefficient,0.1633494370016939,0.1633494370016939
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_002,0.12794814407316832,abs_standardized_logistic_coefficient,-0.12794814407316832,0.12794814407316832
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_009,0.11281171396538521,abs_standardized_logistic_coefficient,-0.11281171396538521,0.11281171396538521
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_014,0.11173877076149676,abs_standardized_logistic_coefficient,0.11173877076149676,0.11173877076149676
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_011,0.08199403687168136,abs_standardized_logistic_coefficient,0.08199403687168136,0.08199403687168136
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_008,0.0581857236969138,abs_standardized_logistic_coefficient,-0.0581857236969138,0.0581857236969138
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_010,0.029799725532431365,abs_standardized_logistic_coefficient,0.029799725532431365,0.029799725532431365
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_015,0.011859818630329321,abs_standardized_logistic_coefficient,0.011859818630329321,0.011859818630329321
pca,l2_C0.1,garman_klass_10d_tp2_sl2,ho1s,logistic_regression,pca_004,0.0004189605109918078,abs_standardized_logistic_coefficient,-0.0004189605109918078,0.0004189605109918078
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_20d_for_interaction,2.0034159184463927,abs_standardized_logistic_coefficient,-2.0034159184463927,2.0034159184463927
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_ratio_63_126d,1.615172611578663,abs_standardized_logistic_coefficient,1.615172611578663,1.615172611578663
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,gk_vol_63d,1.4152225385349677,abs_standardized_logistic_coefficient,1.4152225385349677,1.4152225385349677
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,days_since_signal_change,1.2589037818247535,abs_standardized_logistic_coefficient,-1.2589037818247535,1.2589037818247535
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,ret_5d,0.9572989018254765,abs_standardized_logistic_coefficient,0.9572989018254765,0.9572989018254765
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,sma50_slope,0.8853590632072156,abs_standardized_logistic_coefficient,0.8853590632072156,0.8853590632072156
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_126d,0.6007657739569928,abs_standardized_logistic_coefficient,-0.6007657739569928,0.6007657739569928
