feature_method,model_name,tb_config_name,ticker,model_type,feature,importance,importance_type,coefficient,abs_coefficient
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,mom_sign_5d,0.5586970185529142,abs_standardized_logistic_coefficient,0.5586970185529142,0.5586970185529142
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,ewma_vol_5d,0.4215467735412793,abs_standardized_logistic_coefficient,0.4215467735412793,0.4215467735412793
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_market_calm_negative,0.26239950977861115,abs_standardized_logistic_coefficient,-0.26239950977861115,0.26239950977861115
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,signal_changed,0.2395766774989567,abs_standardized_logistic_coefficient,-0.2395766774989567,0.2395766774989567
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,volume_log_change,0.23165429214713984,abs_standardized_logistic_coefficient,-0.23165429214713984,0.23165429214713984
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,open_interest_log_change,0.18766792405631622,abs_standardized_logistic_coefficient,-0.18766792405631622,0.18766792405631622
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,bb_width,0.1642509664009934,abs_standardized_logistic_coefficient,-0.1642509664009934,0.1642509664009934
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_ratio_5_20d,0.16000622980121296,abs_standardized_logistic_coefficient,0.16000622980121296,0.16000622980121296
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_market_stress,0.14476786081859094,abs_standardized_logistic_coefficient,0.14476786081859094,0.14476786081859094
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,body_pct,0.08488014091448336,abs_standardized_logistic_coefficient,-0.08488014091448336,0.08488014091448336
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,close_position_in_bar,0.003102556533507734,abs_standardized_logistic_coefficient,-0.003102556533507734,0.003102556533507734
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_252d,3.5874939501000545e-05,abs_standardized_logistic_coefficient,-3.5874939501000545e-05,3.5874939501000545e-05
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_regime_confidence,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_prob_calm_negative,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,open_interest_zscore_20d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,bb_width_zscore,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_prob_upside_breakout,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_prob_stress,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,volume_zscore_20d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,primary_signal,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,range_pct,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,mfi_14d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,upper_wick_pct,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,lower_wick_pct,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,gap_open_pct,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,signal_rolling_mean_5d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,signal_abs_rolling_sum_20d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_regime_missing,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_market_upside_breakout,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hmm_market_calm_positive,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,uo,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,atr_10d_pct,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,cci_20d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,macd_zscore,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,volume,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,mom_sign_20d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,mom_sign_63d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,mom_sign_126d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,ret_spread_5_20,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,ret_spread_20_63,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,sma50_vs_sma100,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,sma50_vs_sma200,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,sma100_vs_sma200,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,ema5_vs_ema20,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,sma20_slope,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,macd_hist,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_10d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,stoch_d_14d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,ewma_vol_63d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_ratio_20_63d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,park_vol_5d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,park_vol_10d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,park_vol_20d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,gk_vol_5d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,gk_vol_10d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,hl_range,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,atr_5d_pct,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,low,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,atr_14d_pct,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,atr_20d,0.0,abs_standardized_logistic_coefficient,0.0,0.0
corr_cluster,l1_C1,garman_klass_10d_tp2_sl2,ng1s,logistic_regression,vol_20d_x_hmm_confidence,0.0,abs_standardized_logistic_coefficient,0.0,0.0
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,primary_signal,0.42711512112461164,abs_standardized_logistic_coefficient,0.42711512112461164,0.42711512112461164
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_025,0.282582857006588,abs_standardized_logistic_coefficient,0.282582857006588,0.282582857006588
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_006,0.26099173367599166,abs_standardized_logistic_coefficient,0.26099173367599166,0.26099173367599166
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_001,0.21394380448689834,abs_standardized_logistic_coefficient,-0.21394380448689834,0.21394380448689834
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_016,0.21003579172443518,abs_standardized_logistic_coefficient,0.21003579172443518,0.21003579172443518
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_020,0.1980442306825054,abs_standardized_logistic_coefficient,-0.1980442306825054,0.1980442306825054
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_011,0.1870044967315264,abs_standardized_logistic_coefficient,-0.1870044967315264,0.1870044967315264
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_008,0.1724829610662493,abs_standardized_logistic_coefficient,0.1724829610662493,0.1724829610662493
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_024,0.15137037094173877,abs_standardized_logistic_coefficient,-0.15137037094173877,0.15137037094173877
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_009,0.1507283952406506,abs_standardized_logistic_coefficient,0.1507283952406506,0.1507283952406506
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_023,0.12154085680712531,abs_standardized_logistic_coefficient,0.12154085680712531,0.12154085680712531
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_005,0.12086313411051058,abs_standardized_logistic_coefficient,-0.12086313411051058,0.12086313411051058
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_022,0.11654822442640408,abs_standardized_logistic_coefficient,-0.11654822442640408,0.11654822442640408
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_014,0.11179916167182492,abs_standardized_logistic_coefficient,-0.11179916167182492,0.11179916167182492
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_003,0.09754265047477166,abs_standardized_logistic_coefficient,0.09754265047477166,0.09754265047477166
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_012,0.09045238136088725,abs_standardized_logistic_coefficient,-0.09045238136088725,0.09045238136088725
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_015,0.08337816294912558,abs_standardized_logistic_coefficient,0.08337816294912558,0.08337816294912558
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_018,0.06505025680308998,abs_standardized_logistic_coefficient,0.06505025680308998,0.06505025680308998
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_002,0.05988756519465697,abs_standardized_logistic_coefficient,0.05988756519465697,0.05988756519465697
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_021,0.058647129946551,abs_standardized_logistic_coefficient,-0.058647129946551,0.058647129946551
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_007,0.049779589629855056,abs_standardized_logistic_coefficient,-0.049779589629855056,0.049779589629855056
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_004,0.040172612317663024,abs_standardized_logistic_coefficient,0.040172612317663024,0.040172612317663024
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_017,0.02677827287468679,abs_standardized_logistic_coefficient,-0.02677827287468679,0.02677827287468679
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_013,0.011582505958370128,abs_standardized_logistic_coefficient,0.011582505958370128,0.011582505958370128
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_019,0.0005398817089904999,abs_standardized_logistic_coefficient,0.0005398817089904999,0.0005398817089904999
pca,l2_C0.1,garman_klass_10d_tp2_sl2,rb1s,logistic_regression,pca_010,4.366549437975921e-05,abs_standardized_logistic_coefficient,-4.366549437975921e-05,4.366549437975921e-05
